walmart_fiscal_year,fiscal_year_end_year,segment,net_sales_millions_usd,net_sales_billions_usd,yoy_change_percent,sales_basis,source_url,notes
FY2001,2001,Walmart U.S.,121889,121.889,12.11,Wal-Mart Stores segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000102140801500118/d10k.htm,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2002,2002,Walmart U.S.,139131,139.131,14.15,Wal-Mart Stores segment net sales,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-02-000004/0000104169-02-000004.pdf,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2003,2003,Walmart U.S.,157120,157.120,12.93,Wal-Mart Stores segment net sales,https://stock.walmart.com/financial-information/annual-reports,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2004,2004,Walmart U.S.,174220,174.220,10.88,Wal-Mart Stores segment net sales,https://stock.walmart.com/financial-information/annual-reports,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2005,2005,Walmart U.S.,191826,191.826,10.11,Wal-Mart Stores segment net sales,https://stock.walmart.com/financial-information/annual-reports,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2006,2006,Walmart U.S.,209910,209.910,9.43,Wal-Mart Stores segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000119312508071085/dex13.htm,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2007,2007,Walmart U.S.,226294,226.294,7.81,Wal-Mart Stores segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000119312508071085/dex13.htm,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2008,2008,Walmart U.S.,239529,239.529,5.85,Wal-Mart Stores segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000119312508071085/dex13.htm,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2009,2009,Walmart U.S.,256970,256.970,7.28,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/dex13.htm,Amounts are in millions of U.S. dollars. Reported on the Walmart U.S. segment basis after Walmart segment presentation changes.
FY2010,2010,Walmart U.S.,259919,259.919,1.15,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/dex13.htm,Amounts are in millions of U.S. dollars. Reported on the Walmart U.S. segment basis after Walmart segment presentation changes.
FY2011,2011,Walmart U.S.,260261,260.261,0.13,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/dex13.htm,Amounts are in millions of U.S. dollars. Reported on the Walmart U.S. segment basis after Walmart segment presentation changes.
FY2012,2012,Walmart U.S.,264186,264.186,1.51,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/d270972dex13.htm,Amounts are in millions of U.S. dollars.
FY2013,2013,Walmart U.S.,274433,274.433,3.88,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/wmtform10-kx13115.htm,Amounts are in millions of U.S. dollars.
FY2014,2014,Walmart U.S.,279406,279.406,1.81,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/wmtform10-kx13115.htm,Amounts are in millions of U.S. dollars.
FY2015,2015,Walmart U.S.,288049,288.049,3.09,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/wmtform10-kx13115.htm,Amounts are in millions of U.S. dollars.
FY2016,2016,Walmart U.S.,298378,298.378,3.59,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/wmtars-1312017.htm,Amounts are in millions of U.S. dollars.
FY2017,2017,Walmart U.S.,307833,307.833,3.17,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/wmtars-1312017.htm,Amounts are in millions of U.S. dollars.
FY2018,2018,Walmart U.S.,318477,318.477,3.46,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmtform10-kx1312019.htm,Amounts are in millions of U.S. dollars.
FY2019,2019,Walmart U.S.,331666,331.666,4.14,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmtform10-kx1312019.htm,Amounts are in millions of U.S. dollars.
FY2020,2020,Walmart U.S.,341004,341.004,2.82,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,Amounts are in millions of U.S. dollars.
FY2021,2021,Walmart U.S.,369963,369.963,8.49,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,Amounts are in millions of U.S. dollars.
FY2022,2022,Walmart U.S.,393247,393.247,6.29,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,Amounts are in millions of U.S. dollars.
FY2023,2023,Walmart U.S.,420553,420.553,6.94,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,Amounts are in millions of U.S. dollars.
FY2024,2024,Walmart U.S.,441817,441.817,5.06,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,Amounts are in millions of U.S. dollars.
FY2025,2025,Walmart U.S.,462415,462.415,4.66,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,Amounts are in millions of U.S. dollars.
FY2026,2026,Walmart U.S.,482975,482.975,4.45,Walmart U.S. segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,Amounts are in millions of U.S. dollars.
